entry_number,line_number,importer_id,hts10,description,import_date,entry_date,quantity,uom,entered_value,duty_base,duty_301,duty_232,duty_ieepa,mpf,hmf,ad_cvd,excise,country_of_origin,liquidated
APX-0002196,1,47-3319008,8529900073,"Parts for transmission/reception apparatus, other",2024-04-06,2024-04-06,400,No.,36000.00,864.00,9000.00,0,0,124.70,45.00,0,0,CN,Y
APX-0002069,1,47-3319008,8467990056,"Parts of tools for working in the hand, other",2022-03-09,2022-03-13,100,No.,6000.00,0,1500.00,0,0,20.78,7.50,0,0,CN,Y
APX-0002113,1,47-3319008,8537100044,"Boards/panels for electric control, <= 1,000 V",2022-09-02,2022-09-04,1500,No.,135000.00,3645.00,33750.00,0,0,467.64,168.75,0,0,CN,Y
APX-0002168,1,47-3319008,7307990032,"Tube or pipe fittings of iron or steel, other",2024-09-20,2024-09-20,1000,No.,22000.00,946.00,5500.00,0,2200.00,76.21,27.50,0,0,CN,Y
APX-0002123,1,47-3319008,8481900092,"Parts of taps, cocks, valves and similar appliances",2024-02-14,2024-02-15,600,No.,540000.00,5400.00,135000.00,0,0,1870.56,675.00,0,0,CN,Y
APX-0002158,1,47-3319008,8538903000,Printed circuit assemblies for switchgear,2026-05-29,2026-06-03,600,No.,13200.00,0,3300.00,0,0,45.72,16.50,0,0,CN,N
APX-0002057,1,47-3319008,9025118040,"Thermometers, not combined with other instruments",2023-09-18,2023-09-21,100,No.,6000.00,0,1500.00,0,0,20.78,7.50,0,0,CN,Y
APX-0002141,1,47-3319008,8533210081,"Fixed resistors, for a power handling capacity <= 20 W",2022-04-11,2022-04-16,400,No.,360000.00,0,90000.00,0,0,1247.04,450.00,0,0,CN,Y
APX-0002173,1,47-3319008,8544429097,"Insulated electric conductors fitted with connectors, other",2022-02-20,2022-02-24,600,No.,540000.00,14040.00,135000.00,0,0,1870.56,675.00,0,0,CN,Y
APX-0002203,1,47-3319008,8471800011,Other units of automatic data processing machines,2022-11-25,2022-11-26,1500,No.,720000.00,0,180000.00,180000.00,0,2494.08,900.00,0,0,CN,Y
APX-0002209,1,47-3319008,8517690020,Other apparatus for transmission/reception of voice/data,2021-08-24,2021-08-27,400,No.,360000.00,0,90000.00,0,36000.00,1247.04,450.00,0,0,CN,Y
APX-0002059,1,47-3319008,8528720078,"Reception apparatus for television, color",2023-12-11,2023-12-12,600,No.,84000.00,0,21000.00,0,0,290.98,105.00,0,0,CN,Y
APX-0002177,1,47-3319008,8471800027,Other units of automatic data processing machines,2023-06-01,2023-06-06,1500,No.,210000.00,0,52500.00,0,0,727.44,262.50,0,0,CN,Y
APX-0002135,1,47-3319008,7604290030,"Aluminum bars, rods and profiles, other",2021-09-03,2021-09-06,2500,No.,2250000.00,112500.00,168750.00,0,0,7794.00,2812.50,0,0,CN,Y
APX-0002217,1,47-3319008,8534000053,Printed circuits,2021-06-29,2021-07-03,2500,No.,37500.00,0,9375.00,0,0,129.90,46.88,0,0,CN,Y
APX-0002179,1,47-3319008,8471300134,Portable automatic data processing machines (laptops),2023-08-05,2023-08-06,2500,No.,350000.00,0,70000.00,0,0,1212.40,437.50,0,0,CN,Y
APX-0002155,1,47-3319008,8504404035,Static converters: rectifiers and rectifying apparatus,2026-03-11,2026-03-16,400,No.,6000.00,90.00,1500.00,0,0,20.78,7.50,0,0,CN,Y
APX-0002051,1,47-3319008,7616995139,"Articles of aluminum, other",2021-01-01,2021-01-03,400,No.,14000.00,350.00,1050.00,0,0,48.50,17.50,0,0,CN,Y
APX-0002189,1,47-3319008,8544429067,"Insulated electric conductors fitted with connectors, other",2022-11-03,2022-11-04,400,No.,36000.00,936.00,9000.00,0,0,124.70,45.00,0,0,CN,Y
APX-0002110,1,47-3319008,9032890077,"Automatic regulating/controlling instruments, other",2021-05-20,2021-05-24,600,No.,4800.00,81.60,1200.00,0,0,16.63,6.00,0,0,CN,Y
APX-0002164,1,47-3319008,9032890077,"Automatic regulating/controlling instruments, other",2021-07-30,2021-08-03,250,No.,3750.00,63.75,937.50,0,0,12.99,4.69,0,0,CN,Y
APX-0002014,1,47-3319008,8473301180,"Parts and accessories of ADP machines, printed circuit assemblies",2024-03-19,2024-03-22,250,No.,35000.00,0,8750.00,8750.00,0,121.24,43.75,0,0,CN,Y
APX-0002004,1,47-3319008,8517620011,"Machines for reception/conversion of voice, images or data (networking)",2022-11-19,2022-11-19,1500,No.,22500.00,0,5625.00,0,0,77.94,28.13,0,0,CN,Y
APX-0002212,1,47-3319008,7616995103,"Articles of aluminum, other",2023-02-03,2023-02-03,1500,No.,12000.00,300.00,900.00,0,0,41.57,15.00,0,0,CN,Y
APX-0002200,1,47-3319008,8481900032,"Parts of taps, cocks, valves and similar appliances",2021-04-29,2021-05-01,250,No.,22500.00,225.00,5625.00,0,0,77.94,28.13,0,0,CN,Y
APX-0002044,1,47-3319008,8471300181,Portable automatic data processing machines (laptops),2021-02-12,2021-02-17,1500,No.,90000.00,0,18000.00,22500.00,0,311.76,112.50,0,0,CN,Y
APX-0002120,1,47-3319008,8544429082,"Insulated electric conductors fitted with connectors, other",2026-02-06,2026-02-09,250,No.,55000.00,1430.00,13750.00,0,0,190.52,68.75,0,0,CN,N
APX-0002130,1,47-3319008,7604290068,"Aluminum bars, rods and profiles, other",2024-05-20,2024-05-24,1500,No.,135000.00,6750.00,10125.00,0,0,467.64,168.75,0,0,CN,Y
APX-0002104,1,47-3319008,8534000022,Printed circuits,2020-11-19,2020-11-22,100,No.,2200.00,0,550.00,0,0,7.62,2.75,0,0,CN,Y
APX-0002114,1,47-3319008,8517690088,Other apparatus for transmission/reception of voice/data,2024-08-01,2024-08-05,2500,No.,150000.00,0,37500.00,0,0,519.60,187.50,0,0,CN,Y
APX-0002149,1,47-3319008,9032890078,"Automatic regulating/controlling instruments, other",2024-06-07,2024-06-09,400,No.,6000.00,102.00,1500.00,0,0,20.78,7.50,0,0,CN,Y
APX-0002001,1,47-3319008,8482990011,Parts of ball or roller bearings,2021-01-14,2021-01-18,1500,No.,12000.00,348.00,3000.00,3000.00,0,41.57,15.00,0,0,CN,Y
APX-0002102,1,47-3319008,3926909757,"Articles of plastics, other (face masks/components)",2025-09-10,2025-09-10,2500,No.,150000.00,7500.00,11250.00,0,0,519.60,187.50,0,0,CN,N
APX-0002066,1,47-3319008,8536904017,"Terminals, electrical connectors",2026-05-30,2026-06-02,2500,No.,1200000.00,0,300000.00,0,0,4156.80,1500.00,0,0,CN,Y
APX-0002028,1,47-3319008,7604290083,"Aluminum bars, rods and profiles, other",2023-02-16,2023-02-16,100,No.,800.00,40.00,60.00,0,0,2.77,1.00,0,0,CN,Y
APX-0002190,1,47-3319008,8534000013,Printed circuits,2021-12-23,2021-12-28,250,No.,15000.00,0,3750.00,0,0,51.96,18.75,0,0,CN,Y
APX-0002009,1,47-3319008,8528590059,"Monitors, other (not incorporating TV reception apparatus)",2026-06-02,2026-06-04,1500,No.,90000.00,4500.00,22500.00,0,0,311.76,112.50,0,0,CN,N
APX-0002061,1,47-3319008,8528590084,"Monitors, other (not incorporating TV reception apparatus)",2023-10-05,2023-10-05,100,No.,6000.00,300.00,1500.00,0,0,20.78,7.50,0,0,CN,Y
APX-0002027,1,47-3319008,8517620084,"Machines for reception/conversion of voice, images or data (networking)",2023-03-31,2023-03-31,1500,No.,135000.00,0,33750.00,0,0,467.64,168.75,0,0,CN,Y
APX-0002107,1,47-3319008,8482990028,Parts of ball or roller bearings,2025-07-03,2025-07-05,250,No.,15000.00,435.00,3750.00,0,1500.00,51.96,18.75,0,0,CN,Y
APX-0002134,1,47-3319008,8517690072,Other apparatus for transmission/reception of voice/data,2021-11-07,2021-11-11,250,No.,5500.00,0,1375.00,1375.00,0,19.05,6.88,0,0,CN,Y
APX-0002133,1,47-3319008,8536509041,"Switches for a voltage not exceeding 1,000 V, other",2022-11-18,2022-11-22,50,No.,3000.00,81.00,750.00,0,0,10.39,3.75,0,0,CN,Y
APX-0002099,1,47-3319008,8528720006,"Reception apparatus for television, color",2021-07-05,2021-07-05,600,No.,132000.00,0,33000.00,0,0,457.25,165.00,0,0,CN,Y
APX-0002029,1,47-3319008,8534000024,Printed circuits,2023-05-21,2023-05-24,400,No.,192000.00,0,48000.00,0,0,665.09,240.00,0,0,CN,Y
APX-0002039,1,47-3319008,8536904079,"Terminals, electrical connectors",2023-11-20,2023-11-22,100,No.,1500.00,0,375.00,0,0,5.20,1.88,0,0,CN,Y
APX-0002207,1,47-3319008,8529900078,"Parts for transmission/reception apparatus, other",2022-03-08,2022-03-11,600,No.,132000.00,3168.00,33000.00,0,0,457.25,165.00,0,0,CN,Y
APX-0002050,1,47-3319008,8467990020,"Parts of tools for working in the hand, other",2025-10-05,2025-10-08,100,No.,14000.00,0,3500.00,3500.00,0,48.50,17.50,0,0,CN,N
APX-0002111,1,47-3319008,8507600002,Lithium-ion accumulators (batteries),2021-02-04,2021-02-08,600,No.,540000.00,18360.00,135000.00,0,0,1870.56,675.00,0,0,CN,Y
APX-0002021,1,47-3319008,9013809016,"Liquid crystal devices, other optical appliances",2021-10-18,2021-10-21,2500,No.,1200000.00,54000.00,90000.00,0,0,4156.80,1500.00,0,0,CN,Y
APX-0002090,1,47-3319008,9403200035,Other metal furniture,2026-03-09,2026-03-13,50,No.,24000.00,0,6000.00,0,0,83.14,30.00,0,0,CN,N
APX-0002085,1,47-3319008,8504407013,Static converters: power supplies for ADP machines,2024-06-07,2024-06-08,1500,No.,135000.00,0,33750.00,0,0,467.64,168.75,0,0,CN,Y
APX-0002047,1,47-3319008,8409910046,Parts for spark-ignition internal combustion engines,2022-01-18,2022-01-20,50,No.,4500.00,112.50,1125.00,0,0,15.59,5.63,0,0,CN,Y
APX-0002213,1,47-3319008,9405400028,Other electric lamps and lighting fittings,2026-02-02,2026-02-03,50,No.,4500.00,157.50,1125.00,1125.00,0,15.59,5.63,0,0,CN,N
APX-0002159,1,47-3319008,8504409516,"Static converters (power supplies), other",2025-04-19,2025-04-19,50,No.,4500.00,67.50,1125.00,0,0,15.59,5.63,0,0,CN,Y
APX-0002046,1,47-3319008,9403200019,Other metal furniture,2024-02-19,2024-02-19,50,No.,4500.00,0,1125.00,0,0,15.59,5.63,0,0,CN,Y
APX-0002095,1,47-3319008,8528720024,"Reception apparatus for television, color",2022-06-03,2022-06-07,400,No.,88000.00,0,22000.00,0,0,304.83,110.00,0,0,CN,Y
APX-0002011,1,47-3319008,3919900040,"Self-adhesive plates/film of plastics, other",2023-02-02,2023-02-03,400,No.,88000.00,5104.00,6600.00,0,0,304.83,110.00,0,0,CN,Y
APX-0002187,1,47-3319008,9405400011,Other electric lamps and lighting fittings,2022-03-27,2022-03-27,1500,No.,22500.00,787.50,5625.00,0,0,77.94,28.13,0,0,CN,Y
APX-0002143,1,47-3319008,8531800016,"Electric sound or visual signaling apparatus, other",2022-09-14,2022-09-15,100,No.,6000.00,78.00,1500.00,0,0,20.78,7.50,0,0,CN,Y
APX-0002038,1,47-3319008,8504404016,Static converters: rectifiers and rectifying apparatus,2022-08-23,2022-08-23,600,No.,132000.00,1980.00,33000.00,0,0,457.25,165.00,0,0,CN,Y
APX-0002172,1,47-3319008,8473301184,"Parts and accessories of ADP machines, printed circuit assemblies",2025-08-15,2025-08-17,2500,No.,87500.00,0,21875.00,21875.00,0,303.10,109.38,0,0,CN,Y
APX-0002119,1,47-3319008,8483300001,Bearing housings; plain shaft bearings,2022-02-17,2022-02-20,1500,No.,22500.00,1012.50,5625.00,0,0,77.94,28.13,0,0,CN,Y
APX-0002088,1,47-3319008,8534000096,Printed circuits,2024-04-16,2024-04-19,2500,No.,2250000.00,0,562500.00,0,0,7794.00,2812.50,0,0,CN,Y
APX-0002025,1,47-3319008,8536509042,"Switches for a voltage not exceeding 1,000 V, other",2022-03-16,2022-03-20,100,No.,48000.00,1296.00,12000.00,0,0,166.27,60.00,0,0,CN,Y
APX-0002128,1,47-3319008,8529900012,"Parts for transmission/reception apparatus, other",2024-12-02,2024-12-03,2500,No.,20000.00,480.00,5000.00,0,0,69.28,25.00,0,0,CN,Y
APX-0002175,1,47-3319008,9403200097,Other metal furniture,2022-11-02,2022-11-06,600,No.,54000.00,0,13500.00,13500.00,0,187.06,67.50,0,0,CN,Y
APX-0002216,1,47-3319008,8531800077,"Electric sound or visual signaling apparatus, other",2025-03-22,2025-03-22,1500,No.,22500.00,292.50,5625.00,0,0,77.94,28.13,0,0,CN,Y
APX-0002056,1,47-3319008,7604290092,"Aluminum bars, rods and profiles, other",2023-04-16,2023-04-18,400,No.,36000.00,1800.00,2700.00,9000.00,0,124.70,45.00,0,0,CN,Y
APX-0002020,1,47-3319008,8534000007,Printed circuits,2026-03-07,2026-03-11,400,No.,360000.00,0,90000.00,90000.00,0,1247.04,450.00,0,0,CN,Y
APX-0002185,1,47-3319008,8536904009,"Terminals, electrical connectors",2023-04-12,2023-04-15,1000,No.,900000.00,0,225000.00,0,0,3117.60,1125.00,0,0,CN,Y
APX-0002002,1,47-3319008,8504409571,"Static converters (power supplies), other",2023-03-23,2023-03-23,400,No.,192000.00,2880.00,48000.00,0,0,665.09,240.00,0,0,CN,Y
APX-0002058,1,47-3319008,9403200037,Other metal furniture,2023-03-25,2023-03-30,250,No.,8750.00,0,2187.50,0,0,30.31,10.94,0,0,CN,Y
APX-0002204,1,47-3319008,9030890098,"Instruments for measuring electrical quantities, other",2022-02-20,2022-02-22,2500,No.,87500.00,1400.00,21875.00,0,0,303.10,109.38,0,0,CN,Y
APX-0002080,1,47-3319008,9013809060,"Liquid crystal devices, other optical appliances",2026-03-09,2026-03-10,100,No.,90000.00,4050.00,6750.00,0,0,311.76,112.50,0,0,CN,Y
APX-0002012,1,47-3319008,8538900017,"Parts for switching/protecting electrical circuits, other",2023-11-22,2023-11-26,400,No.,192000.00,6720.00,48000.00,0,0,665.09,240.00,0,0,CN,Y
APX-0002005,1,47-3319008,8531800058,"Electric sound or visual signaling apparatus, other",2021-04-24,2021-04-28,100,No.,14000.00,182.00,3500.00,0,0,48.50,17.50,0,0,CN,Y
APX-0002006,1,47-3319008,9405400073,Other electric lamps and lighting fittings,2021-02-15,2021-02-15,400,No.,6000.00,210.00,1500.00,0,0,20.78,7.50,0,0,CN,Y
APX-0002097,1,47-3319008,3919900068,"Self-adhesive plates/film of plastics, other",2021-02-15,2021-02-20,250,No.,15000.00,870.00,1125.00,0,0,51.96,18.75,0,0,CN,Y
APX-0002087,1,47-3319008,8525890093,"Television cameras, digital cameras, other",2025-08-24,2025-08-27,600,No.,54000.00,1188.00,13500.00,0,0,187.06,67.50,0,0,CN,N
APX-0002122,1,47-3319008,9013809008,"Liquid crystal devices, other optical appliances",2022-10-11,2022-10-11,600,No.,84000.00,3780.00,6300.00,0,0,290.98,105.00,0,0,CN,Y
APX-0002153,1,47-3319008,8517620062,"Machines for reception/conversion of voice, images or data (networking)",2021-01-20,2021-01-23,1500,No.,90000.00,0,22500.00,0,0,311.76,112.50,0,0,CN,Y
APX-0002062,1,47-3319008,8534000086,Printed circuits,2025-05-23,2025-05-24,600,No.,21000.00,0,5250.00,0,2100.00,72.74,26.25,0,0,CN,Y
APX-0002129,1,47-3319008,8542310060,Electronic integrated circuits: processors and controllers,2024-05-13,2024-05-15,600,No.,54000.00,0,13500.00,0,0,187.06,67.50,0,0,CN,Y
APX-0002072,1,47-3319008,3926909798,"Articles of plastics, other (face masks/components)",2023-01-02,2023-01-04,50,No.,45000.00,2250.00,3375.00,0,0,155.88,56.25,0,0,CN,Y
APX-0002132,1,47-3319008,8471300155,Portable automatic data processing machines (laptops),2023-05-11,2023-05-11,100,No.,1500.00,0,300.00,0,0,5.20,1.88,0,0,CN,Y
APX-0002073,1,47-3319008,3926909753,"Articles of plastics, other (face masks/components)",2022-02-06,2022-02-09,400,No.,88000.00,4400.00,6600.00,0,0,304.83,110.00,0,0,CN,Y
APX-0002160,1,47-3319008,8528720033,"Reception apparatus for television, color",2025-01-11,2025-01-11,50,No.,1100.00,0,275.00,0,0,3.81,1.38,0,0,CN,Y
APX-0002171,1,47-3319008,8531800006,"Electric sound or visual signaling apparatus, other",2022-08-15,2022-08-16,600,No.,540000.00,7020.00,135000.00,0,0,1870.56,675.00,0,0,CN,Y
APX-0002151,1,47-3319008,8544429012,"Insulated electric conductors fitted with connectors, other",2021-08-18,2021-08-23,400,No.,192000.00,4992.00,48000.00,0,0,665.09,240.00,0,0,CN,Y
APX-0002148,1,47-3319008,9026100047,Instruments for measuring flow/level of liquids,2023-07-07,2023-07-11,100,No.,3500.00,56.00,875.00,875.00,0,12.12,4.38,0,0,CN,Y
APX-0002041,1,47-3319008,9025118083,"Thermometers, not combined with other instruments",2022-07-20,2022-07-21,50,No.,24000.00,0,6000.00,0,0,83.14,30.00,0,0,CN,Y
APX-0002163,1,47-3319008,8504404054,Static converters: rectifiers and rectifying apparatus,2024-11-11,2024-11-11,100,No.,22000.00,330.00,5500.00,0,2200.00,76.21,27.50,0,0,CN,Y
APX-0002126,1,47-3319008,9032890095,"Automatic regulating/controlling instruments, other",2023-01-13,2023-01-18,2500,No.,350000.00,5950.00,87500.00,0,0,1212.40,437.50,0,0,CN,Y
APX-0002054,1,47-3319008,8517620076,"Machines for reception/conversion of voice, images or data (networking)",2024-12-15,2024-12-19,1500,No.,135000.00,0,33750.00,0,0,467.64,168.75,0,0,CN,Y
APX-0002211,1,47-3319008,8467990057,"Parts of tools for working in the hand, other",2021-05-20,2021-05-23,250,No.,35000.00,0,8750.00,0,0,121.24,43.75,0,0,CN,Y
APX-0002208,1,47-3319008,8504408547,Static converters: speed drive controllers for motors,2025-03-08,2025-03-12,2500,No.,550000.00,0,137500.00,0,0,1905.20,687.50,0,0,CN,Y
APX-0002101,1,47-3319008,8534000015,Printed circuits,2024-03-18,2024-03-22,1500,No.,1350000.00,0,337500.00,0,0,4676.40,1687.50,0,0,CN,Y
APX-0002016,1,47-3319008,9030890014,"Instruments for measuring electrical quantities, other",2021-10-03,2021-10-08,600,No.,84000.00,1344.00,21000.00,0,0,290.98,105.00,0,0,CN,Y
APX-0002091,1,47-3319008,8534000088,Printed circuits,2023-05-20,2023-05-21,2500,No.,550000.00,0,137500.00,0,0,1905.20,687.50,0,0,CN,Y
APX-0002117,1,47-3319008,9026100056,Instruments for measuring flow/level of liquids,2022-05-14,2022-05-17,50,No.,1750.00,28.00,437.50,0,0,6.06,2.19,0,0,CN,Y
APX-0002144,1,47-3319008,8482990046,Parts of ball or roller bearings,2022-04-24,2022-04-26,600,No.,13200.00,382.80,3300.00,0,0,45.72,16.50,0,0,CN,Y
APX-0002000,1,47-3319008,9026100014,Instruments for measuring flow/level of liquids,2022-03-30,2022-04-04,50,No.,3000.00,48.00,750.00,0,0,10.39,3.75,0,0,CN,Y
APX-0002083,1,47-3319008,8517620089,"Machines for reception/conversion of voice, images or data (networking)",2025-05-21,2025-05-21,600,No.,540000.00,0,135000.00,0,0,1870.56,675.00,0,0,CN,Y
APX-0002124,1,47-3319008,8529900068,"Parts for transmission/reception apparatus, other",2022-09-25,2022-09-28,2500,No.,225000.00,5400.00,56250.00,0,0,779.40,281.25,0,0,CN,Y
APX-0002116,1,47-3319008,8471500100,"Processing units (servers), other",2021-03-05,2021-03-08,2500,No.,350000.00,0,70000.00,0,0,1212.40,437.50,0,0,CN,Y
APX-0002094,1,47-3319008,8544429092,"Insulated electric conductors fitted with connectors, other",2021-07-16,2021-07-21,400,No.,36000.00,936.00,9000.00,0,0,124.70,45.00,0,0,CN,Y
APX-0002174,1,47-3319008,9025118086,"Thermometers, not combined with other instruments",2026-01-29,2026-01-31,50,No.,45000.00,0,11250.00,0,0,155.88,56.25,0,0,CN,N
APX-0002165,1,47-3319008,3919900041,"Self-adhesive plates/film of plastics, other",2023-11-05,2023-11-08,1500,No.,1350000.00,78300.00,101250.00,0,0,4676.40,1687.50,0,0,CN,Y
APX-0002103,1,47-3319008,9025118094,"Thermometers, not combined with other instruments",2024-05-18,2024-05-19,100,No.,3500.00,0,875.00,0,0,12.12,4.38,0,0,CN,Y
APX-0002023,1,47-3319008,8471800057,Other units of automatic data processing machines,2022-02-17,2022-02-21,100,No.,3500.00,0,875.00,875.00,350.00,12.12,4.38,0,0,CN,Y
APX-0002019,1,47-3319008,8501314076,"Electric DC motors, of an output not exceeding 750 W",2020-12-23,2020-12-25,1000,No.,220000.00,6160.00,55000.00,55000.00,0,762.08,275.00,0,0,CN,Y
APX-0002199,1,47-3319008,7604290076,"Aluminum bars, rods and profiles, other",2021-03-28,2021-03-31,50,No.,4500.00,225.00,337.50,0,0,15.59,5.63,0,0,CN,Y
APX-0002096,1,47-3319008,8538903036,Printed circuit assemblies for switchgear,2022-07-13,2022-07-13,100,No.,3500.00,0,875.00,0,0,12.12,4.38,0,0,CN,Y
APX-0002106,1,47-3319008,7604290029,"Aluminum bars, rods and profiles, other",2024-07-30,2024-07-30,600,No.,540000.00,27000.00,40500.00,0,0,1870.56,675.00,0,0,CN,Y
